name,bbref_link,bbref_id,career_ppg,birth_location,birth_country,birth_state,birth_city,start_year,end_year,high_school_state,high_school_city,high_school_name,all_star_appearances,Location,Latitude,Longitude
Geert Hammink,/players/h/hammige01.html,hammige01,1.8,Netherlands,NL,,Didam,1994,1996,,,,0
Swen Nater,/players/n/natersw01.html,natersw01,12.4,Netherlands,NL,,Den Helder,1974,1984,California,Long Beach,Wilson,2
Rik Smits,/players/s/smitsri01.html,smitsri01,14.8,Netherlands,NL,,Eindhoven,1989,2000,,,,1
Steven Adams,/players/a/adamsst01.html,adamsst01,9.8,New Zealand,NZ,,Rotorua,2014,2020,Massachusetts,Fitchburg,Notre Dame Preparatory School,0
Aron Baynes,/players/b/baynear01.html,baynear01,6.0,New Zealand,NZ,,Gisborne,2013,2020,,,,0
Sean Marks,/players/m/marksse01.html,marksse01,2.8,New Zealand,NZ,,Auckland,1999,2011,,,,0
Kirk Penney,/players/p/penneki01.html,penneki01,0.8,New Zealand,NZ,,Auckland,2004,2005,,,,0
Solomon Alabi,/players/a/alabiso01.html,alabiso01,1.5,Nigeria,NG,,Kaduna,2011,2012,Florida,Montverde,Montverde Academy,0
Peter Aluma,/players/a/alumape01.html,alumape01,1.0,Nigeria,NG,,Lagos,1999,1999,,,,0
Yinka Dare,/players/d/dareyi01.html,dareyi01,2.1,Nigeria,NG,,Kano,1995,1998,Connecticut,Milford,Milford Academy,0
Obinna Ekezie,/players/e/ekeziob01.html,ekeziob01,3.6,Nigeria,NG,,Port Harcourt,2000,2005,Massachusetts,Worcester,Worcester Academy,0
Festus Ezeli,/players/e/ezelife01.html,ezelife01,4.2,Nigeria,NG,,Benin City,2013,2016,California,Sacramento,Jesuit,0
Julius Nwosu,/players/n/nwosuju01.html,nwosuju01,1.3,Nigeria,NG,,Nkwere,1995,1995,,,,0
Josh Okogie,/players/o/okogijo01.html,okogijo01,8.1,Nigeria,NG,,Lagos,2019,2020,Georgia,Snellville,Shiloh HS,0
Hakeem Olajuwon,/players/o/olajuha01.html,olajuha01,21.8,Nigeria,NG,,Lagos,1985,2002,,,,12
Michael Olowokandi,/players/o/olowomi01.html,olowomi01,8.3,Nigeria,NG,,Lagos,1999,2007,,,,0
Olumide Oyedeji,/players/o/oyedeol01.html,oyedeol01,1.4,Nigeria,NG,,Ibadan,2001,2003,,,,0
Torgeir Bryn,/players/b/brynto01.html,brynto01,1.3,Norway,NO,,Oslo,1990,1990,,,,0
Rolando Blackman,/players/b/blackro01.html,blackro01,18.0,Panama,PA,,Panama City,1982,1994,New York,Brooklyn,William E. Grady Career and Technical,4
Gary Forbes,/players/f/forbega01.html,forbega01,5.8,Panama,PA,,Colon,2011,2012,New York,Brooklyn,Benjamin Banneker Academy,0
Rubén Garcés,/players/g/garceru01.html,garceru01,1.2,Panama,PA,,Colon,2001,2001,,,,0
Stuart Gray,/players/g/grayst01.html,grayst01,2.3,Panama,PA,,Panama Canal Zone,1985,1991,California,Granada Hills,John F. Kennedy,0
Marcin Gortat,/players/g/gortama01.html,gortama01,9.9,Poland,PL,,Lodz,2008,2019,,,,0
Maciej Lampe,/players/l/lampema01.html,lampema01,3.4,Poland,PL,,Lodz,2004,2006,,,,0
Cezary Trybański,/players/t/trybace01.html,trybace01,0.7,Poland,PL,,Warsaw,2003,2004,,,,0
Carlos Arroyo,/players/a/arroyca01.html,arroyca01,6.6,Puerto Rico,PR,,Fajardo,2002,2011,,,,0
J.J. Barea,/players/b/bareajo01.html,bareajo01,8.9,Puerto Rico,PR,,Mayaguez,2007,2020,Florida,Miami,Miami Christian School,0
Gian Clavell,/players/c/clavegi01.html,clavegi01,2.9,Puerto Rico,PR,,Caguas,2018,2018,Florida,Hialeah Gardens,Hialeah Gardens,0
Guillermo Díaz,/players/d/diazgu01.html,diazgu01,0.8,Puerto Rico,PR,,San Juan,2008,2008,Florida,Miami,Miami Christian School,0
Butch Lee,/players/l/leebu01.html,leebu01,8.1,Puerto Rico,PR,,Santurce,1979,1980,New York,Bronx,DeWitt Clinton,0
José Ortiz,/players/o/ortizjo01.html,ortizjo01,2.9,Puerto Rico,PR,,Albonito,1989,1990,,,,0
Peter John Ramos,/players/r/ramospe01.html,ramospe01,1.8,Puerto Rico,PR,,Fajardo,2005,2005,,,,0
Ramón Rivas,/players/r/rivasra01.html,rivasra01,1.4,Puerto Rico,PR,,Carolina,1989,1989,,,,0
Ha Seung-Jin,/players/s/seungha01.html,seungha01,1.5,Republic of Korea,KR,,Seoul,2005,2006,,,,0
Pero Antić,/players/a/anticpe01.html,anticpe01,6.3,Republic of Macedonia,MK,,Skopje,2014,2015,,,,0
Cedi Osman,/players/o/osmande01.html,osmande01,9.6,Republic of Macedonia,MK,,Ohrid,2018,2020,,,,0
Serge Ibaka,/players/i/ibakase01.html,ibakase01,12.6,Republic of the Congo,CG,,Brazzaville,2010,2020,,,,0
Ernie Grunfeld,/players/g/grunfer01.html,grunfer01,7.4,Romania,RO,,Satu-Mare,1978,1986,New York,Forest Hills,Forest Hills,0
Gheorghe Mureșan,/players/m/muresgh01.html,muresgh01,9.8,Romania,RO,,Triteni,1994,2000,,,,0
Sergei Bazarevich,/players/b/bazarse01.html,bazarse01,3.0,Russian Federation,RU,,Moscow,1995,1995,,,,0
Sergey Karasev,/players/k/karasse01.html,karasse01,3.0,Russian Federation,RU,,St. Petersburg,2014,2016,,,,0
Sasha Kaun,/players/k/kaunsa01.html,kaunsa01,0.9,Russian Federation,RU,,Tomsk,2016,2016,Florida,Melbourne,Florida Air Academy,0
Andrei Kirilenko,/players/k/kirilan01.html,kirilan01,11.8,Russian Federation,RU,,Izhevsk,2002,2015,,,,1
Yaroslav Korolev,/players/k/korolya01.html,korolya01,1.1,Russian Federation,RU,,Moscow,2006,2007,,,,0
Johnny Macknowski,/players/m/macknjo01.html,macknjo01,7.0,Russian Federation,RU,,N/A,1950,1951,New Jersey,Jersey City,Lincoln,0
Sergei Monia,/players/m/moniase01.html,moniase01,3.0,Russian Federation,RU,,Saratov,2006,2006,,,,0
Timofey Mozgov,/players/m/mozgoti01.html,mozgoti01,6.8,Russian Federation,RU,,St. Petersburg,2011,2018,,,,0
Pavel Podkolzin,/players/p/podkopa01.html,podkopa01,0.7,Russian Federation,RU,,Novosibirsk,2005,2006,,,,0
Alexey Shved,/players/s/shvedal01.html,shvedal01,7.4,Russian Federation,RU,,Belgorod,2013,2015,,,,0
Alexander Volkov,/players/v/volkoal01.html,volkoal01,6.8,Russian Federation,RU,,Omsk,1990,1992,,,,0
Chris Boucher,/players/b/bouchch01.html,bouchch01,5.3,Saint Lucia,LC,,Castries,2018,2020,,,,0
Adonal Foyle,/players/f/foylead01.html,foylead01,4.1,Saint Vincent and the Grenadines,VC,,Canouan,1998,2009,New York,Hamilton,Hamilton Central,0
Gorgui Dieng,/players/d/dienggo01.html,dienggo01,7.9,Senegal,SN,,Kebemer,2014,2020,West Virginia,Huntington,Huntington St. Joseph Prep,0
DeSagana Diop,/players/d/diopde01.html,diopde01,2.0,Senegal,SN,,Dakar,2002,2013,Virginia,Mouth of Wilson,Oak Hill Academy,0
Tacko Fall,/players/f/fallta01.html,fallta01,3.2,Senegal,SN,,Dakar,2020,2020,Florida,Tavares,Liberty Christian Prep,0
Hamady N'Diaye,/players/n/ndiayha01.html,ndiayha01,0.6,Senegal,SN,,Dakar,2011,2014,California,Simi Valley,Stoneridge Preparatory School,0
Makhtar N'Diaye,/players/n/ndiayma01.html,ndiayma01,1.3,Senegal,SN,,Dakar,1999,1999,Virginia,Mouth of Wilson,Oak Hill Academy,0
Mamadou N'Diaye,/players/n/ndiayma02.html,ndiayma02,3.8,Senegal,SN,,Dakar,2001,2005,Maine,Pittsfield,Maine Central Institute,0
Boniface N'Dong,/players/n/ndongbo01.html,ndongbo01,2.2,Senegal,SN,,Dakar,2006,2006,,,,0
Maurice Ndour,/players/n/ndourma01.html,ndourma01,3.1,Senegal,SN,,Sindia,2017,2017,,,,0
Cheikh Samb,/players/s/sambch01.html,sambch01,1.0,Senegal,SN,,N/A,2008,2009,,,,0
Mouhamed Sene,/players/s/senesa01.html,senesa01,2.2,Senegal,SN,,Thies,2007,2009,,,,0
Pape Sow,/players/s/sowpa01.html,sowpa01,2.9,Senegal,SN,,Dakar,2005,2007,,,,0
Miloš Babić,/players/b/babicmi01.html,babicmi01,1.8,Serbia,RS,,Kraljevo,1991,1992,,,,0
Nemanja Bjelica,/players/b/bjeline01.html,bjeline01,8.0,Serbia,RS,,Belgrade,2016,2020,,,,0
Bogdan Bogdanović,/players/b/bogdabo01.html,bogdabo01,13.3,Serbia,RS,,Belgrade,2018,2020,,,,0
Žarko Čabarkapa,/players/c/cabarza01.html,cabarza01,4.3,Serbia,RS,,Zrenjanin,2004,2006,,,,0
Radisav Ćurčić,/players/c/curcira01.html,curcira01,2.9,Serbia,RS,,Cacak,1993,1993,,,,0
Rastko Cvetković,/players/c/cvetkra01.html,cvetkra01,0.7,Serbia,RS,,Belgrade,1996,1996,,,,0
Vlade Divac,/players/d/divacvl01.html,divacvl01,11.8,Serbia,RS,,Prijepolje,1990,2005,,,,1
